D:\data\MAPPING\JULY20A-GARTNET.b\MAPPING.d
Intensity Vs Time,CPS
Acquired      : 2016/7/20 14:58:22 using Batch JULY20A-GARTNET.b
Time [Sec],Li7,B11,Na23,Mg25,Al27,Si29,P31,K39,Ca42,Sc45,Ti49,V51,Cr53,Mn55,Fe57,Co59,Ni60,Cu63,Zn66,Ga71,Rb85,Sr88,Y89,Zr90,Sn118,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,W182,Au197,Pb208,Th232,U238
21.9080,440765.23,67448.92,37146537.50,2539942.19,47589612.50,5567146.88,48879.35,31055518.75,695129.25,1039685.25,56206.21,1128478.91,74888.95,1307469.82,4389642.97,797185.45,241665.92,356776.86,132091.91,639378.61,863065.63,1620163.38,1713298.83,788561.47,394515.09,229058.67,1816614.65,2107720.12,2714584.38,433342.29,435409.57,1308386.13,381390.53,2494994.53,691015.82,3242373.96,808715.63,3183489.35,658253.47,3464199.56,655586.72,2525255.47,443926.66,3800.54,916860.45,1700360.94,2344087.10
22.4671,545773.68,85438.81,53548394.11,3373162.42,94803297.81,6970188.82,52290.81,35991992.83,866032.81,1258096.75,58515.11,964306.51,75391.49,1622456.03,4914090.11,885942.87,182928.64,336302.69,117468.33,677854.64,943346.09,2012290.91,1961793.65,834646.68,398627.78,260603.15,2177106.29,2352745.41,3375649.26,460286.82,372214.23,1464849.82,504647.80,3242410.81,728053.13,3477251.54,770934.33,3410344.17,687646.73,3506061.90,710117.72,2515646.64,494527.78,6701.67,943092.09,1957783.24,2596318.36
23.0261,627835.79,87953.06,64334313.67,3679150.29,98065770.32,7539558.69,53695.75,44520896.97,847830.47,1386671.87,68959.81,1102961.43,103863.09,1726567.46,5080823.53,814494.14,178676.94,393393.38,173621.17,748371.53,973763.09,2109715.62,2248638.84,764518.75,405724.95,230888.35,2398297.64,2478326.60,3444438.33,524291.85,439845.90,1422270.89,403711.21,3108100.60,679776.56,3707542.37,837356.84,3541881.08,673572.27,3441269.17,710854.69,2526604.86,497327.10,5501.12,1006789.75,2060620.26,2604477.85
23.5852,607227.73,100228.49,68184717.25,3965980.42,104762806.77,7600366.95,54598.99,37798104.16,851215.33,1363254.59,63334.83,1099665.84,81423.32,1709467.81,6214323.44,927484.47,191233.11,451425.29,138450.12,709504.20,1032637.70,2034115.42,2013692.95,869623.05,383622.12,232006.62,2403112.30,2526279.59,3215528.79,447479.20,424170.17,1412832.91,392186.40,3144774.53,709417.09,3194987.42,856376.95,3530201.87,632794.19,3212874.06,669960.60,2797965.51,528988.43,7902.32,1084199.02,2488580.01,2405608.08
24.1442,560596.00,104154.68,67762837.69,3299916.31,90007927.00,7837509.51,55803.41,46351374.07,862432.91,1483312.39,57912.75,1014472.05,78306.57,1792042.93,5895412.51,775577.44,191942.24,443180.08,164921.66,687593.95,959880.96,1815566.67,1805915.22,752933.11,427449.66,290584.74,2411113.14,2312945.40,2986381.21,482624.66,370673.90,1434471.87,422768.46,3407662.82,754839.36,3726544.64,779814.94,3093719.45,627875.29,3566856.19,622698.00,2620765.52,479193.41,8002.38,1029956.54,1983120.35,2274137.29
24.7033,596518.16,104154.68,65531139.46,3444760.77,99437633.82,7203958.51,58714.47,44773632.99,842966.02,1248635.44,57410.80,928708.40,101446.41,1737485.81,5417823.36,833197.07,214652.39,393906.84,146225.00,640631.74,1012273.05,1970133.83,1967492.90,744618.12,399244.78,232616.60,2213726.06,2299757.98,2970685.60,481382.76,470422.31,1182381.93,410198.10,2811550.67,614200.49,3255657.68,834383.98,3142485.01,641066.02,3362542.53,626360.11,2340730.24,466358.74,8902.94,906381.64,1940728.19,2579920.16
25.2623,551058.35,89562.38,64600056.28,3372408.02,95375164.13,7111988.84,54297.91,49559148.97,842331.64,1215134.68,51288.45,861104.88,72376.50,1541336.69,5121040.70,818824.41,187991.78,398528.93,115654.00,643660.45,1109198.24,1793425.29,1629057.87,681303.86,439304.00,231193.31,2033360.23,2089080.85,2969229.45,502924.71,363077.47,1145682.91,393317.90,3251447.69,699004.30,2840869.11,781084.08,3324387.58,597040.82,3121697.76,648667.38,2664894.99,408131.52,12806.08,828893.16,1865540.29,2078040.16
25.8214,526825.93,93385.23,62474193.29,3270921.62,91119096.92,6484334.99,54197.55,39462375.53,785345.07,1136944.78,52492.65,929346.68,84842.43,1388364.18,4626022.15,744011.43,183637.38,373996.95,130376.67,640527.29,995787.21,1690098.86,1790171.36,814017.53,414575.63,214937.38,2013294.41,2281186.50,2684118.12,427877.05,387523.90,1100210.25,393935.11,3000740.17,678306.64,3224071.62,803629.88,3105323.89,568670.46,2710268.50,504771.19,2312496.87,447335.64,8702.81,964113.28,1726423.68,2315980.43
26.3804,528274.71,83327.17,60331056.44,2985461.32,86642142.11,6420658.71,52290.81,41276495.00,736127.69,1007221.86,48880.35,870426.27,81724.97,1489795.13,5307959.25,741699.22,179183.03,369895.09,123416.86,640318.41,1018700.98,1714392.32,1780268.58,715604.83,400067.50,205903.10,1917142.73,1961499.87,2577707.17,371902.98,349024.54,1120438.77,372246.22,3022542.73,654075.44,3174495.95,730302.73,2949740.66,593178.22,2878641.74,538630.13,2044131.57,434427.29,8002.38,818056.01,1680420.98,2042138.40
26.9395,559558.98,97108.39,61097458.31,2933735.41,79953243.68,5979908.90,52290.81,40347089.98,753041.46,1119794.73,50084.35,877421.19,71572.61,1387509.20,5127423.63,751055.52,186675.21,377792.14,120795.18,663832.91,958066.60,1601124.05,1584250.40,663188.96,489923.29,227025.95,2079396.92,2149899.62,2440549.06,370773.44,323109.59,1032699.80,366084.89,3003269.91,690385.35,3121137.69,677918.51,2905999.70,586186.52,2705240.17,531456.79,1974526.82,435665.97,6601.62,939234.57,1538279.75,1956313.23
